1000 500
913 810 68
913 257 45
913 795 81
913 680 72
914 242 45
916 231 20
916 722 93
916 600 81
917 182 34
917 628 11
918 405 87
921 992 41
926 604 97
926 284 56
927 43 16
928 106 7
932 161 60
932 313 57
934 150 87
934 463 13
934 886 40
937 859 27
940 225 88
940 320 75
944 896 41
947 65 74
948 500 3
948 388 19
950 903 74
951 28 57
951 453 42
951 279 21
953 743 8
956 834 43
957 177 18
960 141 35
961 817 19
961 942 46
962 808 89
962 344 14
966 762 13
967 479 21
969 486 89
969 243 36
971 339 82
971 256 39
971 811 57
972 234 48
976 211 83
978 130 79
978 777 73
981 720 14
982 873 94
983 147 64
989 642 37
991 650 51
992 167 64
992 269 16
993 614 2
993 202 44
994 784 90
996 526 50
999 811 96
